=====================================Elevator E0 =========================================
2 1 picksup:P6 
4 2 goesup 
5 1 picksup:P16 
6 1 picksup:P12 
18 5 drops:P6 
18 5 stops 
31 7 drops:P16 
31 7 stops 
7 1 picksup:P18 
9 2 goesup 
31 7 drops:P18 
31 7 stops 
37 1 picksup:P14 
52 12 drops:P12 
52 12 stops 
38 1 picksup:P7 
44 1 picksup:P3 
46 2 goesup 
76 9 drops:P3 
76 9 stops 
39 3 drops:P14 
39 3 stops 
54 1 picksup:P13 
47 1 picksup:P5 
49 2 goesup 
56 1 picksup:P19 
58 2 goesup 
44 1 picksup:P8 
46 2 goesup 
60 5 drops:P8 
62 6 goesup 
64 9 drops:P7 
64 9 stops 
49 1 picksup:P4 
51 2 goesup 
65 5 drops:P19 
67 6 goesup 
61 7 picksup:P16 
63 6 goesdown 
67 5 drops:P16 
67 5 stops 
67 7 drops:P5 
67 7 stops 
77 1 picksup:P11 
79 2 goesup 
66 1 picksup:P9 
68 2 goesup 
81 12 drops:P13 
81 12 stops 
101 9 drops:P11 
101 9 stops 
84 7 picksup:P18 
86 6 goesdown 
90 5 drops:P18 
92 6 goesup 
106 9 drops:P9 
106 9 stops 
72 1 picksup:P15 
74 2 goesup 
112 11 drops:P4 
113 11 drops:P15 
114 12 goesup 
114 12 picksup:P12 
116 11 goesdown 
118 1 picksup:P0 
120 2 goesup 
134 5 drops:P0 
134 5 stops 
114 1 drops:P12 
114 1 stops 
123 1 picksup:P2 
125 2 goesup 
114 9 picksup:P3 
116 8 goesdown 
120 7 drops:P3 
120 7 stops 
115 5 picksup:P18 
117 6 goesup 
120 7 picksup:P5 
122 8 goesup 
129 5 picksup:P16 
131 4 goesdown 
131 4 drops:P16 
133 5 goesup 
139 9 picksup:P11 
141 10 goesup 
141 10 drops:P11 
143 11 goesup 
143 11 picksup:P15 
145 10 goesdown 
143 12 picksup:P13 
143 12 drops:P18 
145 11 goesdown 
140 12 drops:P5 
140 12 stops 
146 6 drops:P13 
146 6 stops 
144 9 drops:P2 
144 9 stops 
142 5 picksup:P6 
142 5 drops:P15 
